Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
268,"9/10/20, 5:09:53 PM",17 ft,0:00:02,6 mph,848 ft,179° true,N42° 16.025' W83° 43.885',87.8 °F,88
269,"9/10/20, 5:09:55 PM",4 ft,0:00:01,2.9 mph,846 ft,151° true,N42° 16.022' W83° 43.885',87.8 °F,87
270,"9/10/20, 5:09:56 PM",39 ft,0:00:04,7 mph,845 ft,164° true,N42° 16.021' W83° 43.884',87.8 °F,87
271,"9/10/20, 5:10:00 PM",38 ft,0:00:02,13 mph,846 ft,107° true,N42° 16.015' W83° 43.882',87.8 °F,86
272,"9/10/20, 5:10:02 PM",26 ft,0:00:01,18 mph,846 ft,91° true,N42° 16.014' W83° 43.874',87.8 °F,85
273,"9/10/20, 5:10:03 PM",139 ft,0:00:05,19 mph,846 ft,88° true,N42° 16.013' W83° 43.868',87.8 °F,87
274,"9/10/20, 5:10:08 PM",34 ft,0:00:02,12 mph,846 ft,90° true,N42° 16.014' W83° 43.837',87.8 °F,88
275,"9/10/20, 5:10:10 PM",8 ft,0:00:01,6 mph,846 ft,89° true,N42° 16.014' W83° 43.830',87.8 °F,83
276,"9/10/20, 5:10:11 PM",3 ft,0:00:01,1.7 mph,846 ft,79° true,N42° 16.014' W83° 43.828',87.8 °F,81
277,"9/10/20, 5:10:12 PM",,,,844 ft,,N42° 16.014' W83° 43.827',87.8 °F,80
